gl_account,txn_count,net_amount,subcontractor_lines,gl_period,gl_basis,source_file,note
Sales,70,845647.19,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Sub-Contractors,169,379880.03,169,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Chase Plat Bus Checking 6106,537,97742.82,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Owner's Draw,123,-94160.49,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Job Supply,120,74294.29,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Chase Credit Card - 2877,293,62518.91,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Chase Business Card 3140 (9274)(7687),145,-57055.26,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Cost of Goods Sold,24,43410.52,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Wages,28,40384.68,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Commission Expense,59,30335.0,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Tax & Accounting Services,9,21954.46,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Website & Software,69,10492.23,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
2020 F350 Loan,9,-8754.95,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Legal Services,7,8276.0,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Gas,55,6681.0,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Owner's Contribution,4,5500.0,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Plans,8,5362.52,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Interest Paid,12,5154.96,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Advertising & Marketing,15,4558.0,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Payroll Taxes (ER),28,3366.24,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Cash Back Rewards,2,3246.61,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
50% Deductible,28,3240.85,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Wells Fargo Operating 9366,24,-3186.19,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Auto,6,3107.69,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Worker's Compensation,1,3000.1,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
License & Permit,1,2669.0,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
Disposal,7,2493.1,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
MACU Loan,9,-2227.84,0,"Jan 1 - Jun 30, 2026",Cash Basis,Precision Blueprint Development_General Ledger.csv,full transaction detail in GL_Snapshots.csv / workbook
