gl_account,txn_date,txn_type,num,name,memo,split_account,amount,running_balance,is_subcontractor,allocation_confidence,allocated_jobtread_id,row_uid,source_file,gl_period,gl_basis,ingested_at
Chase Plat Bus Checking 6106,2026-01-02,Expense,,ADP,,Payroll Expenses:Payroll Processing Fees,-69.31,290909.18,N,,,29de9c6b839bba41,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-02,Expense,,ADP,,Payroll Expenses:Payroll Processing Fees,-50.0,290859.18,N,,,e06d2d29a3dcf96e,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-02,Expense,,Merchant Service,,Office Expenses:Bank Charges & Fees:Merchant Fees,-375.91,290483.27,N,,,a1408ac0b1ab7247,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-02,Expense,,Juan Moreno,Per client call 2/25/26.,Sub-Contractors,-1000.0,289483.27,N,,,668e917a2dba8ba8,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-02,Journal Entry,,,Direct Deposit,,1262.3,290745.57,N,,,b0107e769bc03893,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-02,Journal Entry,,,Direct Deposit,,-1262.3,289483.27,N,,,ed762ebe035ec337,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-04,Credit Card Credit,,Chase Bank,,Barclay CC 0333,-306.75,289176.52,N,,,7b8887676b5dfdb1,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-05,Expense,,Withdrawal,Per client call 3/5/26,Loan to Cindy & Paul,-5000.0,284176.52,N,,,8057bcac4459aaa1,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-05,Expense,,Transfer 3758,,Owner's Draw,-1500.0,282676.52,N,,,a4db008ac57573c5,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-05,Expense,,Ramon Design,,Sub-Contractors,-1200.0,281476.52,N,,,e2aeaae8105726c6,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-07,Expense,,Withdrawal,Per client call 3/5/26,Loan to Cindy & Paul,-5000.0,276476.52,N,,,c5f7e8929b1ec1db,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-07,Expense,,Chase,,Chase Business Card 3140 (9274)(7687),-25000.0,251476.52,N,,,8440600b20d20d37,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-08,Expense,,J's Plumbing LLC - Juan Garcia,,Sub-Contractors,-5000.0,246476.52,N,,,93f6afcd9970c669,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-08,Expense,,ADP,,,-1262.28,245214.24,N,,,1c0ff8e046513cf9,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-08,Expense,,ADP,,,-327.86,244886.38,N,,,425c3d2fa4074f1e,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-09,Deposit,,Transfer,Instant Pmt from PRECISION BLUEPRINT DEVELOPMEN on 01/09 Ref\#XXXXXXXXXXXX00021P1BRJPCXXXXXXX3704,Wells Fargo Operating 9366,-5000.0,239886.38,N,,,4932d9d34c83f83a,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-09,Expense,,ADP,,Payroll Expenses:Payroll Processing Fees,-69.31,239817.07,N,,,4685003c9134fa73,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-09,Expense,,Anytime Dental,,Owner's Draw,-263.1,239553.97,N,,,ee7cbdd8f4e47155,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-09,Journal Entry,,,,,-1262.28,238291.69,N,,,72ab7687e6aadee1,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-09,Journal Entry,,,Direct Deposit,,1262.28,239553.97,N,,,ea6e07b3bb878eec,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-09,Journal Entry,,,Direct Deposit,,-1262.28,238291.69,N,,,e7ef0d6b5420d934,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-12,Expense,,Transfer 3758,,Owner's Draw,-1500.0,236791.69,N,,,92f0e1df80a7f50a,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-12,Expense,,Ramon Design,,Sub-Contractors,-1200.0,235591.69,N,,,3ecf3cb130799304,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-12,Expense,,Desert Concrete Specialists/Edgar Ramirez,,Sub-Contractors,-1800.0,233791.69,N,,,dd6994fe0280f034,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-13,Expense,,Withdrawal,Per client call 3/5/26,Loan to Cindy & Paul,-5000.0,228791.69,N,,,d71f1086ea30b838,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-14,Expense,,Withdrawal,Per client call 3/5/26,Loan to Cindy & Paul,-5000.0,223791.69,N,,,edd04284395d76be,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-14,Expense,,J's Plumbing LLC - Juan Garcia,,Sub-Contractors,-300.0,223491.69,N,,,540a2b5f60fa7b89,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-14,Expense,,J's Plumbing LLC - Juan Garcia,,Sub-Contractors,-2700.0,220791.69,N,,,c5bdc6df7528d370,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-15,Expense,,Mendoza Construction LLC - Jose Mendoza,,Sub-Contractors,-300.0,220491.69,N,,,03aaf46b54fb663d,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-15,Expense,,Mendoza Construction LLC - Jose Mendoza,,Sub-Contractors,-250.0,220241.69,N,,,00b91aebd03d1685,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-15,Expense,,ADP,,,-1262.3,218979.39,N,,,be7c9f6ce79db1db,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
Chase Plat Bus Checking 6106,2026-01-15,Expense,,ADP,,,-327.84,218651.55,N,,,3a47df3757d7be9b,Precision Blueprint Development_General Ledger.csv,"Jan 1 - Jun 30, 2026",Cash Basis,2026-07-18T23:30:00-04:00
