as_of_date,basis,account,debit,credit,net_debit_credit,source_file,ingested_at
2026-07-11,Accrual,Chase Plat Bus Checking 6106,422686.73,,422686.73,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Accounts Receivable (A/R),432296.14,,432296.14,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Accounts Payable (A/P),,12155.0,-12155.0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Chase Credit Card - 2877,,32458.79,-32458.79,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Payroll Liabilities:Payroll Taxes,,946.05,-946.05,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Owner's Draw,218693.9,,218693.9,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Sales,,1358500.87,-1358500.87,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Cost of Goods Sold,56215.52,,56215.52,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Disposal,2949.23,,2949.23,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Job Supply,74253.36,,74253.36,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Sub-Contractors,383759.03,,383759.03,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Auto:Gas,6947.03,,6947.03,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Auto:Repair & Maintenance,2287.22,,2287.22,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,General Advertising:Advertising & Marketing,4893.69,,4893.69,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Meals & Entertainment:50% Deductible,3486.28,,3486.28,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Office Expenses:Bank Charges & Fees:Deductible,136.31,,136.31,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Office Expenses:Bank Charges & Fees:Merchant Fees,847.77,,847.77,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Office Expenses:Taxes & Licenses,998.39,,998.39,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Office Expenses:Website & Software,13543.35,,13543.35,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Payroll Expenses:Payroll Processing Fees,2283.82,,2283.82,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Payroll Expenses:Payroll Taxes (ER),3586.9,,3586.9,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Payroll Expenses:Salaries/Labor:Wages,43269.3,,43269.3,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Retained Earnings,,316261.07,-316261.07,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Commission Expense,30335.0,,30335.0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Equipment Rental,2193.5,,2193.5,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,License & Permit,2669.0,,2669.0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Plans,5362.52,,5362.52,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Advertising Expense,845.0,,845.0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Auto:Registration & License Fees,120.06,,120.06,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,General Advertising:Client/Vendor Gifts,583.2,,583.2,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Insurance Expense,1448.79,,1448.79,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Insurance Expense:Auto,3107.69,,3107.69,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Insurance Expense:Worker's Compensation,3000.1,,3000.1,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Meals & Entertainment:Employee Meals - Non-Deductible,1207.71,,1207.71,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Office Expenses:Bank Charges & Fees,15.0,,15.0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Office Expenses:Bank Charges & Fees:Interest Paid,5154.96,,5154.96,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Office Expenses:Office Supplies,326.16,,326.16,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Office Expenses:Telephone,1074.11,,1074.11,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Office Expenses:Utilities & Internet,400.0,,400.0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Professional Services:Legal Services,8276.0,,8276.0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Professional Services:Tax & Accounting Services,21954.46,,21954.46,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Travel:Airfare,9.62,,9.62,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Travel:Lodging,289.51,,289.51,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Travel:Parking,90.0,,90.0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Travel:Transportation,547.7,,547.7,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Cash Back Rewards,,3246.61,-3246.61,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Dividend,,0.06,-0.06,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Charitiable Contributions,1065.0,,1065.0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,2020 F350 Loan,,36024.86,-36024.86,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Barclay CC 0333,,750.57,-750.57,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Best Buy Store Credit,,0.0,0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Business phones:Accumulated depreciation,,1467.0,-1467.0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Business phones:iPhone 14 Pro Max Silver,1590.62,,1590.62,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Business phones:iPhone 15 Pro Max (256 GB Blue Titanium),1300.24,,1300.24,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Business phones:iPhone 15 Pro Max (512 GB White Titanium),1217.06,,1217.06,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Chase Business Card 3140 (9274)(7687),,0.0,0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Chase Credit Card 3571,,0.0,0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Computers:2024 Laptop (1),,0.0,0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Computers:HP Envy Laptop,970.18,,970.18,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Computers:HP Victus Laptop,862.39,,862.39,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Computers:IBuyPower Y60 Desktop - 2024,1832.59,,1832.59,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Computers:Meta Quest Pro - 2024,985.28,,985.28,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Equipment:Pressure Washer,900.0,,900.0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Dump Trailer Loan from John Niezen,,0.0,0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Home Depot Card - 3038,,0.0,0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Loan to Cindy & Paul,,0.0,0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,MACU Loan,,21036.89,-21036.89,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,MACU Savings 6934,365.85,,365.85,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Notes Payable:Raul,,0.0,0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Opening Balance Equity,,0.0,0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Owner's Contribution,,28393.25,-28393.25,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Payroll Liabilities,,0.0,0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Prepaid Payroll,,0.0,0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Transport equipment:2002 Ford F350 Dually,18000.0,,18000.0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Transport equipment:2020 Ford F350 SuperDuty,74027.0,,74027.0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Transport equipment:2020 Ford F350 SuperDuty:Accumulated depreciation,,62553.0,-62553.0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Transport equipment:Box Trailer,5500.0,,5500.0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Transport equipment:Dump Trailer,9280.0,,9280.0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Transport equipment:Dump Trailer:Accumulated depreciation,,7934.0,-7934.0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Undeposited Funds,,0.0,0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Wells Fargo Credit Card 6410 (9790),,0.0,0,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
2026-07-11,Accrual,Wells Fargo Operating 9366,1687.75,,1687.75,Trial Balance - Last Week.xlsx,2026-07-18T23:30:00-04:00
